aoi,entraron_tras_calidad,validos_finales,descartados_pendiente,porcentaje_valido,pendiente_mediana_grados,umbral_grados
BOSQUE_NW_02,1025,690,335,67.3,13.6,20.0
ESTEPA_NW_02,4041,3084,957,76.3,10.2,20.0
