archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,agbd,agbd_se,agbd_pi_lower,agbd_pi_upper,l4_quality_flag,l2_quality_flag,algorithm_run_flag,predictor_limit_flag,response_limit_flag,surface_flag,selected_algorithm,degrade_flag,sensitivity,solar_elevation,predict_stratum,pft_class,region_class,leaf_off_flag,landsat_treecover,urban_proportion
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042897,-42.740748,-71.120631,326422.74,5265793.40,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,1.6535051,-22.81652,ENT_SA,1,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042898,-42.740462,-71.120054,326469.21,5265826.44,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,-0.5850566,-22.817049,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042899,-42.740175,-71.119477,326515.64,5265859.46,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,1.6751306,-22.817577,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042900,-42.739916,-71.119002,326553.74,5265889.24,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,2.6156502,-22.81803,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042901,-42.739631,-71.118433,326599.52,5265922.00,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,-1.057183,-22.818552,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042902,-42.739344,-71.117856,326645.98,5265955.03,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,-14.640239,-22.81908,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042903,-42.739077,-71.117351,326686.54,5265985.77,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,0.7571132,-22.819609,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042904,-42.738793,-71.116784,326732.18,5266018.48,2.0144055,3.0020182,-9999.0,18.489136,0,0,1,255,255,1,1,0,0.8499791,-22.820105,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042905,-42.738510,-71.116221,326777.46,5266051.05,2.1450052,3.0014713,-9999.0,18.87836,0,0,1,255,255,1,1,0,0.8586076,-22.820625,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042906,-42.738225,-71.115652,326823.29,5266083.83,17.57482,2.9823525,1.7452564,49.891403,0,1,1,255,255,1,1,0,0.90528756,-22.821148,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042907,-42.737940,-71.115082,326869.14,5266116.62,1.748223,3.003217,-9999.0,17.668413,0,0,1,255,255,1,1,0,0.41944692,-22.821667,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042908,-42.737644,-71.114468,326918.55,5266150.79,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,0.3616649,-22.822193,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042909,-42.737371,-71.113944,326960.74,5266182.16,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,0.41055453,-22.822721,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042910,-42.737071,-71.113316,327011.32,5266216.79,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,6.82193,-22.823248,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0010,351000200100042911,-42.736785,-71.112739,327057.69,5266249.79,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,0.521608,-22.823776,GSW_SA,5,6,0,0.0,0
