nombre_corto,aoi,sensor,fecha,nombre_original,archivo_origen
S2B_L2A_20251125_R053_T18GYT,BOSQUE_NW_02,S2_L2A,20251125,S2B_MSIL2A_20251125T142709_N0511_R053_T18GYT_20251125T180610,S2B_MSIL2A_20251125T142709_N0511_R053_T18GYT_20251125T180610.zip
S2C_L2A_20260109_R053_T18GYT,BOSQUE_NW_02,S2_L2A,20260109,S2C_MSIL2A_20260109T142721_N0511_R053_T18GYT_20260109T180225,S2C_MSIL2A_20260109T142721_N0511_R053_T18GYT_20260109T180225.zip
S2B_L2A_20260305_R053_T18GYT,BOSQUE_NW_02,S2_L2A,20260305,S2B_MSIL2A_20260305T142749_N0512_R053_T18GYT_20260305T192326,S2B_MSIL2A_20260305T142749_N0512_R053_T18GYT_20260305T192326.zip
SAO1B_L1A_20251123_13870600,BOSQUE_NW_02,SAOCOM_L1A,20251123,EOL1ASARSAO1B13870600,S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20251125T074457.xemt
SAO1B_L1A_20260110_14465476,BOSQUE_NW_02,SAOCOM_L1A,20260110,EOL1ASARSAO1B14465476,S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20260225T154921.xemt
SAO1B_L1A_20260227_14489260,BOSQUE_NW_02,SAOCOM_L1A,20260227,EOL1ASARSAO1B14489260,S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20260301T235257.xemt
NISAR_GCOV_20251204,ESTEPA_NW_02,NISAR_GCOV,20251204,NISAR_L2_PR_GCOV_007_003_A_156_4005_DHDH_A_20251204T105003_20251204T105038_X05009_N_F_J_001,NISAR_L2_PR_GCOV_007_003_A_156_4005_DHDH_A_20251204T105003_20251204T105038_X05009_N_F_J_001.h5
NISAR_GCOV_20251228,ESTEPA_NW_02,NISAR_GCOV,20251228,NISAR_L2_PR_GCOV_009_003_A_156_4005_DHDH_A_20251228T105004_20251228T105039_X05009_N_F_J_001,NISAR_L2_PR_GCOV_009_003_A_156_4005_DHDH_A_20251228T105004_20251228T105039_X05009_N_F_J_001.h5
NISAR_GCOV_20260108,ESTEPA_NW_02,NISAR_GCOV,20260108,NISAR_L2_PR_GCOV_009_169_D_110_4005_DHDH_A_20260108T224424_20260108T224459_X05009_N_F_J_001,NISAR_L2_PR_GCOV_009_169_D_110_4005_DHDH_A_20260108T224424_20260108T224459_X05009_N_F_J_001.h5
PALSAR2_2023,ESTEPA_NW_02,PALSAR2_MOSAIC,2023,JAXA_global_mosaic_2023,tile S42W072
PALSAR2_2024,ESTEPA_NW_02,PALSAR2_MOSAIC,2024,JAXA_global_mosaic_2024,tile S42W072
PALSAR2_2025,ESTEPA_NW_02,PALSAR2_MOSAIC,2025,JAXA_global_mosaic_2025,tile S42W072
S1A_IW_GRD_20231017_050811_R164_297D,ESTEPA_NW_02,S1_GRD,20231017,S1A_IW_GRDH_1SDV_20231017T234208_20231017T234233_050811_061FC5_297D,S1A_IW_GRDH_1SDV_20231017T234208_20231017T234233_050811_061FC5_297D.zip
S1A_IW_GRD_20231204_051511_R164_E72A,ESTEPA_NW_02,S1_GRD,20231204,S1A_IW_GRDH_1SDV_20231204T234207_20231204T234232_051511_0637C5_E72A,S1A_IW_GRDH_1SDV_20231204T234207_20231204T234232_051511_0637C5_E72A.zip
S1A_IW_GRD_20240109_052036_R164_2C12,ESTEPA_NW_02,S1_GRD,20240109,S1A_IW_GRDH_1SDV_20240109T234205_20240109T234230_052036_0649EA_2C12,S1A_IW_GRDH_1SDV_20240109T234205_20240109T234230_052036_0649EA_2C12.zip
S1A_IW_GRD_20240226_052736_R164_4F96,ESTEPA_NW_02,S1_GRD,20240226,S1A_IW_GRDH_1SDV_20240226T234203_20240226T234228_052736_066197_4F96,S1A_IW_GRDH_1SDV_20240226T234203_20240226T234228_052736_066197_4F96.zip
S1A_IW_GRD_20251123_062011_R164_5F88,ESTEPA_NW_02,S1_GRD,20251123,S1A_IW_GRDH_1SDV_20251123T234153_20251123T234218_062011_07C1DF_5F88,S1A_IW_GRDH_1SDV_20251123T234153_20251123T234218_062011_07C1DF_5F88.zip
S1A_IW_GRD_20260110_062711_R164_5B9E,ESTEPA_NW_02,S1_GRD,20260110,S1A_IW_GRDH_1SDV_20260110T234148_20260110T234213_062711_07DD05_5B9E,S1A_IW_GRDH_1SDV_20260110T234148_20260110T234213_062711_07DD05_5B9E.zip
S1A_IW_GRD_20260227_063411_R164_7B72,ESTEPA_NW_02,S1_GRD,20260227,S1A_IW_GRDH_1SDV_20260227T234146_20260227T234211_063411_07F739_7B72,S1A_IW_GRDH_1SDV_20260227T234146_20260227T234211_063411_07F739_7B72.zip
