shot_number,este_utm19s,norte_utm19s,altura_dosel_rh95_m,rh98_m,cover,pai,fhd_normal,pendiente_grados
346880600100072440,330165.0,5264812.1,2.31,2.84,0.039282907,0.0801546,1.3361605,4.15
346880600100072441,330211.5,5264845.2,2.2,2.76,0.050851595,0.10438702,1.499042,4.70
346880600100072442,330258.0,5264878.3,2.16,2.72,0.05746754,0.1183786,1.4396452,4.45
346880600100072443,330304.3,5264911.3,2.76,3.43,0.07874203,0.16404733,1.5396957,5.15
346880600100072444,330350.8,5264944.4,2.42,2.95,0.029787634,0.06048286,1.1014625,4.41
346880600100072445,330397.2,5264977.4,2.69,3.28,0.1110408,0.23544325,1.3400203,4.35
346880600100072446,330443.7,5265010.5,2.95,3.66,0.10490802,0.22168887,1.4787551,7.92
346880600100072447,330490.5,5265043.8,2.69,3.36,0.036878623,0.075155176,1.3788354,8.52
346880600100072448,330537.0,5265077.0,2.42,2.99,0.030822605,0.06261766,1.6023123,6.97
346880600100072449,330583.5,5265110.1,1.98,2.46,0.016983887,0.03426026,1.3539946,2.44
346880600100072450,330629.7,5265143.0,2.35,2.95,0.059031066,0.12169957,1.3382325,7.15
346880600100072451,330676.4,5265176.2,3.02,3.7,0.07588424,0.15785155,1.5472126,10.06
346880600100072452,330723.1,5265209.5,2.5,3.1,0.07814072,0.16274208,1.523537,10.04
346880600100072453,330769.6,5265242.6,2.01,2.5,0.04832614,0.09907189,1.1852971,5.14
346880600100072454,330815.8,5265275.6,2.09,2.57,0.03364402,0.068448916,1.2851303,7.44
346880600100072455,330861.7,5265308.4,2.61,3.21,0.037848387,0.07717017,1.5608357,13.48
346880600100072456,330907.4,5265341.1,2.84,3.47,0.04623194,0.0946751,1.5166793,16.05
346880600100072457,330952.9,5265373.6,3.06,3.73,0.08195909,0.17104511,1.6656345,13.91
346880600100072458,330998.7,5265406.4,2.05,2.5,0.040504497,0.08269955,1.3506484,6.83
346880600100072459,331045.0,5265439.4,2.01,2.46,0.0384178,0.07835427,1.3582438,1.60
346880600100072460,331091.3,5265472.5,2.09,2.57,0.013773802,0.027739557,1.1908301,1.28
346880600100072461,331137.6,5265505.5,2.09,2.57,0.05022176,0.103060134,1.2773181,1.41
346880600100072462,331183.9,5265538.5,2.01,2.5,0.04093836,0.08360421,1.188801,1.83
346880600100072463,331230.1,5265571.5,1.94,2.42,0.036389817,0.074140295,1.3229866,4.84
346880600100072464,331276.1,5265604.4,2.01,2.5,0.029038433,0.058938935,1.4192257,4.17
346880600100072465,331322.3,5265637.4,2.39,2.99,0.07316794,0.15198033,1.5272278,1.41
346880600100072466,331368.6,5265670.4,5.83,7.14,0.18022269,0.39754876,2.1034944,1.32
346880600100072467,331415.0,5265703.5,2.5,3.17,0.081601664,0.17026643,1.5779622,2.07
346880600100072468,331461.5,5265736.6,2.05,2.54,0.033674173,0.06851133,1.4618913,2.62
346880600100072469,331507.8,5265769.6,2.05,2.5,0.02634684,0.053402036,1.3394896,2.02
346880600100072470,331554.1,5265802.7,1.98,2.46,0.026308538,0.05332336,1.3808328,2.48
346880600100072471,331600.4,5265835.7,2.01,2.5,0.014157824,0.028518507,1.046123,5.32
346880600100072472,331646.8,5265868.8,2.91,3.62,0.103906944,0.21945266,1.5932447,8.84
346880600100072473,331693.5,5265902.0,2.54,3.14,0.05843372,0.12043014,1.4369817,8.50
346880600100072474,331740.1,5265935.3,2.16,2.69,0.019168306,0.038709726,1.0892825,6.53
346880600100072475,331786.5,5265968.3,2.28,2.84,0.06598813,0.13654396,1.3338411,4.63
346880600100072476,331833.1,5266001.5,2.5,3.1,0.04036978,0.08241873,1.3833737,5.44
346880600100072477,331879.7,5266034.7,2.54,3.14,0.031016806,0.06301848,1.5045797,4.84
346880600100072478,331926.2,5266067.9,2.16,2.65,0.037587278,0.07662744,1.3059793,4.59
346880600100072479,331972.8,5266101.0,2.35,2.95,0.049674083,0.10190704,1.4950929,7.57
346880600100072480,332019.4,5266134.2,2.35,2.91,0.03763524,0.076727115,1.4479175,7.72
346880600100072481,332066.0,5266167.4,2.61,3.25,0.0826425,0.17253484,1.5028524,7.14
346880600100072482,332112.5,5266200.5,2.05,2.54,0.021995222,0.04448267,1.2774472,7.09
346880600100072483,332158.2,5266233.2,2.16,2.72,0.054906666,0.11295115,1.5832281,5.88
346880600100072484,332205.3,5266266.6,2.61,3.25,0.02928904,0.059455246,1.3569727,9.39
346880600100072485,332251.8,5266299.7,2.16,2.65,0.033016145,0.06714975,1.4413807,4.39
346880600100072486,332298.2,5266332.7,2.46,3.02,0.054911178,0.1129607,1.3521763,3.91
346880600100072487,332344.5,5266365.7,2.05,2.57,0.026672538,0.054071218,1.5285639,5.25
346880600100072488,332390.4,5266398.5,2.09,2.61,0.02009818,0.040606808,1.1792192,6.05
346880600100072489,332436.7,5266431.5,4.11,5.04,0.20828739,0.46725854,1.698004,8.88
346880600100072490,332483.7,5266464.9,2.2,2.72,0.041773353,0.08534642,1.3327507,7.17
346880600100072491,332529.9,5266497.8,2.69,3.28,0.11428242,0.24275191,1.3171507,6.94
346880600100072492,332576.8,5266531.1,2.28,2.84,0.033214115,0.06755929,1.4720764,6.86
346880600100072493,332623.2,5266564.1,2.28,2.84,0.056306303,0.11591568,1.3741316,7.02
346880600100072494,332669.6,5266597.2,2.2,2.72,0.040453833,0.08259394,1.3562657,7.70
346880600100072495,332715.7,5266630.0,2.42,2.99,0.017915802,0.036157273,0.98631084,8.56
346880600100072496,332761.7,5266662.8,2.01,2.5,0.03989992,0.08143962,1.416271,6.18
346880600100072497,332808.5,5266696.1,3.73,4.48,0.07197041,0.14939736,1.7433623,10.34
346880600100072498,332855.2,5266729.2,2.16,2.65,0.03842593,0.07837118,1.1712602,7.94
346880600100072499,332901.6,5266762.2,2.09,2.57,0.02606072,0.052814364,1.4282132,6.37
346880600100072500,332948.4,5266795.5,3.55,4.37,0.05997081,0.12369829,1.8169572,10.12
346880600100072501,332995.1,5266828.7,3.06,3.73,0.05551301,0.11423489,1.6124165,8.94
346880600100072502,333041.3,5266861.6,2.91,3.62,0.068933874,0.14286278,1.5021602,8.65
346880600100072503,333087.5,5266894.5,2.46,3.06,0.05287003,0.108645275,1.5707179,5.92
346880600100072504,333134.2,5266927.7,2.69,3.36,0.059494317,0.12268459,1.6005661,7.30
346880600100072505,333180.7,5266960.8,2.28,2.84,0.05376525,0.11053681,1.3072511,6.29
346880600100072506,333227.2,5266993.9,2.35,2.91,0.025243027,0.051135816,1.0880853,6.29
346880600100072507,333273.6,5267026.9,2.61,3.25,0.04897163,0.10042906,1.6029216,9.95
346880600100072508,333320.5,5267060.2,3.21,3.96,0.121660344,0.25948694,1.6239424,14.71
346880600100072509,333367.6,5267093.7,3.77,4.74,0.054493286,0.112076424,1.9369707,19.80
346880600100072511,333462.5,5267160.9,2.54,3.17,0.080775544,0.16846779,1.5204222,10.14
346880600100072512,333508.8,5267193.9,2.84,3.55,0.0688211,0.1426205,1.699248,13.32
346880600100072513,333554.9,5267226.8,3.1,3.88,0.02900186,0.0588636,1.6341469,15.18
346880600100072514,333601.1,5267259.7,3.81,4.82,0.07769692,0.16177927,1.9429177,16.52
346880600100072515,333647.3,5267292.7,3.28,4.03,0.06524324,0.13494928,1.6351756,17.74
346880600100072516,333693.2,5267325.5,3.73,4.59,0.04294668,0.08779715,1.8701488,17.99
346880600100072517,333738.8,5267358.1,3.32,4.11,0.06360132,0.13143875,1.787425,17.94
