archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262792,-42.655113,-71.558922,290257.9,5274308.4,994.0831,1,0,0.9535539,-0.63,1.27,3.4,5.87,6.66
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262799,-42.657430,-71.554287,290645.6,5274062.6,1084.1539,1,0,0.9526721,-1.3,-0.14,0.89,2.28,2.73
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262809,-42.660328,-71.548500,291129.6,5273755.2,1179.7446,1,0,0.9629354,1.3,4.22,8.45,14.18,15.26
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262812,-42.661184,-71.546806,291271.4,5273664.2,1129.1276,1,0,0.9525574,6.84,18.82,23.68,27.28,28.06
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262814,-42.661763,-71.545653,291367.8,5273602.8,1140.0028,1,0,0.9550712,-1.68,0.48,2.99,5.27,5.91
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262815,-42.662046,-71.545097,291414.3,5273572.8,1106.6195,1,0,0.95701003,2.65,15.23,21.74,25.29,26.04
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262856,-42.673883,-71.521563,293382.4,5272316.0,1168.9912,1,0,0.95847553,0.59,3.77,6.96,10.32,11.15
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262858,-42.674468,-71.520394,293480.1,5272254.0,1209.8843,1,0,0.9729388,5.98,10.7,14.22,16.91,17.62
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262859,-42.674757,-71.519820,293528.2,5272223.3,1211.3269,1,0,0.96730614,9.76,14.59,16.87,19.64,20.35
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262865,-42.676496,-71.516356,293817.8,5272038.6,1250.9545,1,0,0.9522773,2.43,6.66,9.28,13.02,14.03
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262866,-42.676783,-71.515787,293865.3,5272008.1,1240.9305,1,0,0.9533646,8.38,18.29,21.89,24.84,25.55
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262877,-42.679983,-71.509412,294398.2,5271668.3,1362.7559,1,0,0.9585775,1.01,5.01,7.63,10.06,10.81
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262880,-42.680847,-71.507702,294541.2,5271576.5,1345.0658,1,0,0.9689233,8.23,15.45,18.59,22.0,22.93
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262881,-42.681132,-71.507143,294587.9,5271546.3,1318.47,1,0,0.9514397,1.42,13.73,20.35,24.88,25.7
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262885,-42.682284,-71.504861,294778.7,5271423.8,1298.7028,1,0,0.9705311,2.54,6.28,8.41,10.59,11.26
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262886,-42.682573,-71.504289,294826.5,5271393.2,1297.0762,1,0,0.9576607,0.03,1.94,5.42,11.11,12.23
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262903,-42.687464,-71.494591,295637.2,5270873.5,1222.8833,1,0,0.95315844,2.02,4.86,7.74,10.29,11.03
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262904,-42.687747,-71.494033,295683.8,5270843.5,1193.9402,1,0,0.951866,2.65,6.51,10.14,13.02,13.95
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262905,-42.688029,-71.493477,295730.3,5270813.4,1161.2167,1,0,0.9560262,0.18,2.8,9.87,16.09,17.06
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262908,-42.688886,-71.491779,295872.2,5270722.4,1121.489,1,0,0.95587885,-0.07,2.13,8.68,14.25,15.75
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262910,-42.689460,-71.490635,295967.8,5270661.4,1116.8303,1,0,0.95194,5.76,8.98,10.92,12.98,13.8
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262917,-42.691471,-71.486632,296302.3,5270447.8,1098.0684,1,0,0.957897,13.5,17.88,20.65,23.61,24.62
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262924,-42.693483,-71.482623,296637.4,5270233.9,1085.5044,1,0,0.95143414,0.14,5.2,16.09,20.43,21.21
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258121,-42.642556,-71.597307,287068.7,5275607.0,1309.6472,1,0,0.96637607,3.85,6.92,9.35,11.6,12.19
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258122,-42.642841,-71.596743,287115.9,5275576.6,1293.161,1,0,0.952962,2.99,7.93,11.71,14.81,15.64
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258124,-42.643409,-71.595627,287209.3,5275516.4,1235.8888,1,0,0.95312643,5.16,11.93,15.64,19.64,20.47
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258132,-42.645724,-71.591012,287595.5,5275271.0,1294.8032,1,0,0.95872027,0.74,3.29,5.76,10.62,11.71
