archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,motivo,detalle
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041651,-42.725124,-71.146145,324290.2,5267475.7,1466.2354,0,50,-0.4304937,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041652,-42.724836,-71.145568,324336.6,5267508.9,1465.8358,0,50,10.928223,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041653,-42.724547,-71.144992,324383.0,5267542.1,1466.0071,0,50,-0.26599005,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041654,-42.724276,-71.144453,324426.3,5267573.4,1392.5703,0,50,0.82199323,-1.38,-0.18,1.01,2.54,3.03,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041655,-42.723991,-71.143885,324472.1,5267606.2,1377.1495,1,50,0.86551416,-1.72,-0.11,1.45,3.25,3.7,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041656,-42.723705,-71.143315,324517.9,5267639.1,1364.8856,0,50,0.83335495,-1.08,-0.03,1.01,2.35,2.76,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041657,-42.723420,-71.142746,324563.7,5267671.9,1350.3351,0,50,0.67880285,-0.82,0.71,2.39,4.22,4.67,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041658,-42.723136,-71.142178,324609.4,5267704.7,1334.354,0,50,0.82834566,-1.16,-0.11,0.93,2.35,2.8,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041659,-42.722850,-71.141606,324655.4,5267737.7,1325.5142,0,50,0.8176467,-1.42,-0.22,0.86,2.28,2.73,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041660,-42.722566,-71.141039,324701.0,5267770.4,1307.4835,0,50,0.85025376,-1.23,-0.11,1.01,2.5,3.03,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
