shot_number,lat,lon,rh98,pendiente_grados,predict_stratum,agbd_origen,agbd_L4A_Mg_ha,agbd_CCI2024_Mg_ha
334320200400263282,-42.678919,-71.534706,26.53,19.28,DBT_SA,hoja_caida,126.68451,191
334320200400263285,-42.679790,-71.532959,26.46,16.88,DBT_SA,hoja_caida,169.87575,174
334320200400263304,-42.685293,-71.521958,4.15,12.24,,,,0
334320200400263320,-42.689897,-71.512819,14.03,10.09,DBT_SA,hoja_caida,37.152527,129
334320200400263322,-42.690474,-71.511672,15.38,5.94,DBT_SA,hoja_caida,52.974854,117
334320200400263325,-42.691338,-71.509956,14.56,9.75,DBT_SA,hoja_caida,35.312172,173
334320200400263327,-42.691915,-71.508808,15.34,5.66,DBT_SA,hoja_caida,37.624836,168
334320300400258248,-42.656795,-71.592252,12.87,18.70,,,,207
334320300400258249,-42.657083,-71.591679,13.81,19.38,DBT_SA,hoja_caida,35.991165,211
334320300400258251,-42.657660,-71.590534,16.99,13.95,DBT_SA,hoja_caida,69.520485,223
334320300400258253,-42.658236,-71.589388,11.9,17.85,DBT_SA,hoja_caida,25.128717,225
334320300400258259,-42.659958,-71.585987,27.32,12.53,DBT_SA,hoja_caida,197.72423,193
334320300400258260,-42.660247,-71.585412,15.57,17.14,DBT_SA,hoja_caida,24.56767,199
334320300400258267,-42.662262,-71.581413,25.45,15.23,DBT_SA,hoja_caida,151.10349,199
334320300400258275,-42.664551,-71.576902,9.17,2.10,DBT_SA,hoja_caida,8.326031,207
334320300400258279,-42.665703,-71.574611,6.25,0.53,DBT_SA,hoja_caida,1.4101268,183
334320300400258280,-42.665991,-71.574039,7.48,2.39,DBT_SA,hoja_caida,4.501627,197
334320300400258282,-42.666568,-71.572889,13.32,16.50,DBT_SA,hoja_caida,25.767807,192
334320300400258290,-42.668887,-71.568225,9.5,10.64,DBT_SA,hoja_caida,6.0230713,158
334320300400258293,-42.669749,-71.566515,7.14,8.05,DBT_SA,hoja_caida,2.62072,179
334320300400258294,-42.670038,-71.565937,5.98,9.81,DBT_SA,hoja_caida,0.47273764,174
334320300400258305,-42.673203,-71.559625,8.98,17.16,DBT_SA,hoja_caida,4.8530836,185
334320300400258310,-42.674649,-71.556716,12.16,18.90,DBT_SA,hoja_caida,21.888525,158
334320300400258319,-42.677245,-71.551509,28.67,13.92,DBT_SA,hoja_caida,220.8499,177
334320300400258320,-42.677532,-71.550938,23.35,13.44,DBT_SA,hoja_caida,127.71932,217
334320300400258324,-42.678681,-71.548650,20.99,9.87,DBT_SA,hoja_caida,105.65885,193
334320300400258328,-42.679835,-71.546331,19.72,13.61,DBT_SA,hoja_caida,79.59928,212
334320300400258330,-42.680412,-71.545175,18.86,15.02,DBT_SA,hoja_caida,75.599915,177
334320300400258332,-42.680988,-71.544022,25.26,12.69,DBT_SA,hoja_caida,174.21286,204
334320300400258333,-42.681277,-71.543440,15.64,17.55,DBT_SA,hoja_caida,49.038605,202
334320300400258335,-42.681855,-71.542281,25.93,17.34,DBT_SA,hoja_caida,166.83002,211
334320300400258338,-42.682724,-71.540529,6.36,17.61,,,,191
334320300400258339,-42.683011,-71.539958,19.16,15.05,,,,191
334320300400258340,-42.683302,-71.539371,5.01,11.07,,,,201
334320300400258343,-42.684168,-71.537638,17.7,14.30,,,,196
334320300400258345,-42.684747,-71.536474,9.76,12.32,,,,193
334320300400258346,-42.685035,-71.535898,10.66,7.89,,,,188
334320300400258347,-42.685325,-71.535319,6.28,6.43,,,,188
334320300400258350,-42.686190,-71.533590,7.41,16.47,,,,183
334320300400258363,-42.689947,-71.526089,12.01,19.37,,,,0
334320300400258365,-42.690527,-71.524926,3.33,6.07,,,,0
334320300400258366,-42.690816,-71.524350,4.19,7.54,,,,0
334320500400258177,-42.664325,-71.596072,14.25,9.40,,,,177
334320500400258178,-42.664614,-71.595492,13.58,12.88,,,,192
334320500400258181,-42.665484,-71.593743,6.43,17.30,DBT_SA,hoja_caida,0.6668285,206
334320500400258182,-42.665772,-71.593169,7.22,12.55,DBT_SA,hoja_caida,1.7127978,206
334320500400258183,-42.666059,-71.592598,12.94,13.39,,,,164
334320500400258198,-42.670318,-71.584270,7.03,7.21,DBT_SA,hoja_caida,1.9624625,206
