shot_number,lat,lon,elev_lowestmode,fabdem_m,n_egm2008_m,delta_terreno_m,control_terreno
334320500400258177,-42.664325,-71.596072,1266.7025,1249.31,21.584,-4.19,PASA
334320500400258178,-42.664614,-71.595492,1278.2684,1258.35,21.586,-1.67,PASA
334320500400258181,-42.665484,-71.593743,1327.9507,1307.32,21.591,-0.96,PASA
334320500400258182,-42.665772,-71.593169,1329.5663,1310.42,21.593,-2.45,PASA
334320500400258183,-42.666059,-71.592598,1325.4106,1303.46,21.594,0.36,PASA
334320500400258198,-42.670318,-71.584270,839.5045,817.82,21.621,0.07,PASA
334320500400258199,-42.670606,-71.583696,839.361,817.65,21.623,0.08,PASA
334320500400258200,-42.670893,-71.583122,840.4019,818.39,21.625,0.39,PASA
334320500400258201,-42.671181,-71.582548,841.0331,819.63,21.627,-0.22,PASA
334320500400258202,-42.671469,-71.581974,841.98004,820.61,21.628,-0.25,PASA
334320500400258203,-42.671756,-71.581400,842.5824,821.45,21.630,-0.50,PASA
334320500400258204,-42.672044,-71.580826,843.492,821.97,21.632,-0.11,PASA
334320500400258205,-42.672332,-71.580253,844.22144,822.52,21.633,0.07,PASA
334320500400258206,-42.672619,-71.579679,844.52124,823.11,21.635,-0.22,PASA
334320500400258207,-42.672907,-71.579105,845.1269,823.88,21.637,-0.38,PASA
334320500400258208,-42.673194,-71.578531,845.9024,824.66,21.638,-0.39,PASA
334320500400258209,-42.673482,-71.577957,846.85406,825.53,21.640,-0.31,PASA
334320500400258210,-42.673770,-71.577384,847.509,826.42,21.642,-0.55,PASA
334320500400258211,-42.674057,-71.576810,847.97437,827.68,21.643,-1.35,PASA
334320500400258214,-42.674929,-71.575047,922.4793,898.49,21.648,2.34,PASA
334320500400258215,-42.675217,-71.574474,923.0066,900.99,21.650,0.37,PASA
334320500400258216,-42.675504,-71.573901,921.88715,901.67,21.652,-1.43,PASA
334320500400258217,-42.675792,-71.573325,926.13605,903.98,21.653,0.50,PASA
334320500400258218,-42.676081,-71.572746,935.7779,911.93,21.655,2.20,PASA
334320500400258219,-42.676370,-71.572167,945.46875,921.71,21.657,2.11,PASA
334320500400258220,-42.676658,-71.571592,949.0365,927.00,21.658,0.38,PASA
334320500400258221,-42.676948,-71.571011,962.28864,938.31,21.660,2.32,PASA
334320500400258222,-42.677238,-71.570428,978.5551,953.57,21.662,3.33,PASA
334320500400258228,-42.678981,-71.566912,1107.7056,1087.66,21.672,-1.63,PASA
334320500400258229,-42.679271,-71.566333,1117.7921,1092.43,21.673,3.69,PASA
334320500400258230,-42.679557,-71.565767,1104.585,1090.92,21.675,-8.01,FUERA_DE_UMBRAL
334320500400258231,-42.679846,-71.565193,1104.7648,1086.10,21.677,-3.01,PASA
334320500400258232,-42.680135,-71.564614,1113.6377,1096.82,21.678,-4.86,PASA
334320500400258233,-42.680425,-71.564032,1127.5039,1108.80,21.680,-2.98,PASA
334320500400258242,-42.683048,-71.558739,1353.8506,1346.36,21.695,-14.20,FUERA_DE_UMBRAL
334320500400258243,-42.683340,-71.558150,1379.9138,1357.46,21.697,0.76,PASA
334320500400258244,-42.683628,-71.557578,1376.2299,1357.45,21.698,-2.92,PASA
334320500400258247,-42.684488,-71.555886,1325.6115,1309.58,21.703,-5.67,FUERA_DE_UMBRAL
334320500400258248,-42.684776,-71.555315,1321.7739,1300.05,21.705,0.02,PASA
334320500400258249,-42.685062,-71.554756,1295.5752,1286.40,21.706,-12.53,FUERA_DE_UMBRAL
334320500400258252,-42.685933,-71.553007,1346.1864,1326.57,21.711,-2.10,PASA
334320500400258258,-42.687653,-71.549625,1246.5679,1238.15,21.721,-13.30,FUERA_DE_UMBRAL
334320600400967042,-42.673747,-71.590818,945.3321,926.40,21.614,-2.68,PASA
334320600400967046,-42.674887,-71.588585,837.0443,817.25,21.621,-1.83,PASA
334320600400967048,-42.675462,-71.587437,836.8495,815.12,21.625,0.11,PASA
334320600400967049,-42.675750,-71.586864,836.91437,815.07,21.627,0.22,PASA
334320600400967050,-42.676037,-71.586290,837.08655,815.17,21.629,0.29,PASA
334320600400967051,-42.676325,-71.585716,838.4198,815.64,21.630,1.15,PASA
334320600400967052,-42.676613,-71.585142,838.4492,816.93,21.632,-0.11,PASA
