recinto,ventana,celdas_con_ambos,celdas_comparables,huellas_gedi,segmentos_atl08,mediana_gedi_rh98_m,mediana_atl08_hcanopy_m,razon_atl08_sobre_gedi,mediana_diferencia_m,p25_diferencia_m,p75_diferencia_m,mad_diferencia_m,min_diferencia_m,max_diferencia_m,spearman_rho
BOSQUE_NW_02,todo,84,10,690,861,4.94,8.65,1.75,3.09,2.54,7.15,1.83,0.07,13.17,0.321
BOSQUE_NW_02,ventana_gedi_2024-11-06_a_2025-03-30,1,0,690,21,,,,,,,,,,
ESTEPA_NW_02,todo,257,91,3083,1454,2.93,9.30,3.18,6.36,2.61,8.09,3.08,-4.45,15.79,0.011
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,43,7,3083,141,2.83,9.12,3.22,6.46,2.77,6.63,3.42,1.68,11.97,0.126
