shot_number,lat,lon,rh98,pendiente_grados,predict_stratum,agbd_origen,agbd_L4A_Mg_ha,agbd_CCI2024_Mg_ha
332030800400198220,-42.734422,-71.047933,4.6,7.07,,,,0
332030800400198221,-42.734709,-71.047359,3.29,7.10,,,,0
332030800400198222,-42.734996,-71.046786,3.18,6.33,,,,0
332030800400198223,-42.735282,-71.046214,2.84,5.13,GSW_SA,certificada,1.564893,0
332030800400198224,-42.735570,-71.045640,3.77,7.82,,,,0
332030800400198225,-42.735856,-71.045068,3.36,10.41,,,,0
332030800400198226,-42.736141,-71.044500,3.44,10.96,GSW_SA,certificada,2.686699,0
332030800400198227,-42.736426,-71.043930,3.14,5.88,GSW_SA,certificada,2.088537,0
332030800400198228,-42.736713,-71.043357,17.39,14.26,GSW_SA,certificada,107.449295,0
332030800400198229,-42.737005,-71.042770,4.15,11.56,,,,0
332030800400198230,-42.737292,-71.042197,3.1,5.29,GSW_SA,certificada,2.0144055,1
332030800400198231,-42.737578,-71.041624,2.76,4.86,,,,0
332030800400198232,-42.737865,-71.041050,2.61,4.44,GSW_SA,certificada,1.2141011,0
332030800400198233,-42.738151,-71.040476,2.69,4.63,,,,0
332030800400198234,-42.738437,-71.039904,3.14,6.16,,,,0
332030800400198235,-42.738723,-71.039332,2.73,5.80,,,,0
332030800400198236,-42.739009,-71.038760,3.1,5.62,,,,0
332030800400198237,-42.739294,-71.038187,2.65,6.39,,,,0
332030800400198238,-42.739580,-71.037615,3.03,6.21,,,,0
332030800400198239,-42.739866,-71.037043,3.36,5.83,GSW_SA,certificada,2.5199213,0
332030800400198240,-42.740152,-71.036468,2.43,4.24,,,,0
332030800400198241,-42.740438,-71.035895,2.43,2.73,GSW_SA,certificada,0.9703503,0
332030800400198242,-42.740724,-71.035320,4.07,5.61,,,,0
332030800400198243,-42.741012,-71.034741,2.73,4.54,,,,0
332030800400198244,-42.741298,-71.034165,2.46,1.25,,,,0
332030800400198245,-42.741584,-71.033590,2.61,1.20,,,,0
332030800400198246,-42.741870,-71.033015,2.39,3.68,,,,0
332030800400198247,-42.742155,-71.032442,2.99,7.32,,,,0
332030800400198248,-42.742439,-71.031873,2.84,7.78,,,,4
332030800400198249,-42.742724,-71.031300,2.43,4.57,,,,4
332030800400198250,-42.743009,-71.030728,2.39,4.05,GSW_SA,certificada,0.9198619,3
332030800400198251,-42.743293,-71.030155,3.4,3.97,GSW_SA,certificada,2.60265,2
332030800400198252,-42.743578,-71.029581,3.59,10.23,,,,2
332030800400198253,-42.743865,-71.029004,4.26,11.64,,,,0
332030800400198254,-42.744151,-71.028427,3.77,9.91,,,,0
332030800400198255,-42.744435,-71.027855,2.95,9.12,GSW_SA,certificada,1.748223,0
332030800400198256,-42.744719,-71.027283,2.73,6.94,,,,0
332031100400192903,-42.710488,-71.109266,3.36,7.79,GSW_SA,certificada,2.5199213,19
332031100400192904,-42.710777,-71.108690,3.7,9.94,GSW_SA,certificada,3.265132,19
332031100400192905,-42.711064,-71.108116,2.69,10.65,,,,18
332031100400192906,-42.711351,-71.107544,5.01,12.35,,,,6
332031100400192907,-42.711639,-71.106970,5.08,13.14,GSW_SA,certificada,7.259656,6
332031100400192908,-42.711927,-71.106395,4.3,13.48,,,,6
332031100400192909,-42.712214,-71.105822,3.55,12.08,,,,0
332031100400192910,-42.712502,-71.105248,3.14,9.37,GSW_SA,certificada,2.088537,0
332031100400192911,-42.712789,-71.104676,3.18,8.71,GSW_SA,certificada,2.1639936,1
332031100400192912,-42.713075,-71.104104,4.6,8.37,GSW_SA,certificada,5.6947904,0
332031100400192913,-42.713363,-71.103529,3.1,7.04,,,,0
332031100400192914,-42.713651,-71.102955,2.35,3.12,,,,0
332031100400192915,-42.713937,-71.102385,3.51,5.69,,,,0
332031100400192916,-42.714223,-71.101816,3.51,5.89,,,,0
332031100400192917,-42.714509,-71.101245,2.61,4.07,GSW_SA,certificada,1.2141011,0
332031100400192918,-42.714795,-71.100673,2.69,4.51,,,,0
332031100400192919,-42.715082,-71.100102,2.5,7.66,GSW_SA,certificada,1.0619253,2
332031100400192920,-42.715368,-71.099532,2.76,11.60,GSW_SA,certificada,1.4378811,3
