recinto,ventana,celdas_con_ambos,celdas_comparables,huellas_gedi,segmentos_atl08,mediana_gedi_rh98_m,mediana_atl08_hcanopy_m,razon_atl08_sobre_gedi,mediana_diferencia_m,p25_diferencia_m,p75_diferencia_m,mad_diferencia_m,min_diferencia_m,max_diferencia_m,spearman_rho
BOSQUE_NW_02,todo,114,21,690,1487,6.06,11.35,1.87,4.04,2.45,7.29,3.11,-3.25,16.68,0.601
BOSQUE_NW_02,ventana_gedi_2024-11-06_a_2025-03-30,1,0,690,33,,,,,,,,,,
ESTEPA_NW_02,todo,284,101,3083,1678,2.99,9.60,3.21,6.53,2.81,8.07,2.26,-4.45,15.60,0.066
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,47,10,3083,171,2.83,8.67,3.06,5.93,3.45,6.88,1.35,1.68,11.72,0.097
