archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258143,-42.648904,-71.584667,288126.5,5274933.7,1373.5646,1,0,0.9795744,2.24,4.79,7.7,10.7,11.6,12.11
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258144,-42.649192,-71.584092,288174.6,5274903.1,1375.8932,1,0,0.9029145,-0.52,1.38,8.0,11.48,12.19,10.76
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258145,-42.649481,-71.583517,288222.7,5274872.5,1379.5193,1,0,0.95279783,-0.89,0.97,3.33,7.03,7.89,9.79
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258157,-42.652887,-71.576805,288784.5,5274511.1,1061.721,1,0,0.95100045,9.2,16.69,20.39,23.65,24.51,18.00
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258158,-42.653174,-71.576233,288832.4,5274480.6,1059.4252,1,0,0.9565055,0.07,2.54,9.28,14.33,15.26,13.17
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258180,-42.659767,-71.563117,289929.8,5273781.2,918.35504,1,0,0.9660429,1.19,4.19,6.62,9.09,9.76,14.09
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258188,-42.662377,-71.557880,290367.8,5273504.4,1061.6461,1,0,0.95536816,-1.34,-0.14,0.97,2.35,2.84,6.39
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258197,-42.664972,-71.552704,290800.7,5273229.1,1089.0223,1,0,0.9588935,-1.38,0.56,3.03,6.47,7.14,14.28
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258205,-42.667271,-71.548137,291182.7,5272985.0,1046.5662,1,0,0.9601814,-0.71,1.75,4.3,7.55,8.49,18.68
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258208,-42.668141,-71.546398,291328.1,5272892.7,1079.16,1,0,0.9504186,-1.34,0.26,1.9,4.26,4.82,14.38
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258210,-42.668715,-71.545261,291423.2,5272831.7,1059.3362,1,0,0.9570378,-0.11,3.14,5.46,7.82,8.45,13.72
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258211,-42.669005,-71.544684,291471.5,5272801.0,1066.8552,1,0,0.957701,-0.86,0.37,1.79,3.81,4.6,14.27
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258216,-42.670450,-71.541805,291712.2,5272647.6,1085.4558,1,0,0.95183015,1.27,3.77,6.39,9.01,9.76,15.66
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258221,-42.671899,-71.538917,291953.7,5272493.8,1124.9535,1,0,0.97568434,3.96,7.03,8.86,10.89,11.48,14.32
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258227,-42.673626,-71.535490,292240.4,5272310.5,1104.3342,1,0,0.9598995,0.33,2.88,5.57,7.85,8.53,2.72
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258228,-42.673915,-71.534916,292288.4,5272279.8,1106.3115,1,0,0.9000994,1.04,4.11,6.54,9.01,9.72,1.57
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258229,-42.674203,-71.534342,292336.3,5272249.2,1107.656,1,0,0.9612075,-0.78,0.44,2.13,4.75,5.46,5.16
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258250,-42.680301,-71.522165,293354.3,5271601.9,1369.6664,1,0,0.9581611,-2.46,1.19,3.77,5.95,6.58,17.98
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258263,-42.684053,-71.514717,293977.1,5271203.5,1348.8044,1,0,0.9105825,4.22,8.64,11.11,13.92,14.85,15.78
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258266,-42.684920,-71.512993,294121.1,5271111.3,1352.6234,1,0,0.96547794,-2.95,-0.59,1.12,3.36,4.07,10.74
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258283,-42.689819,-71.503297,294931.7,5270590.9,1261.6881,1,0,0.9541161,9.05,16.69,20.69,23.61,24.51,19.46
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258295,-42.693266,-71.496472,295502.1,5270224.6,1168.1046,1,0,0.9733902,5.31,7.93,11.18,14.93,15.71,9.83
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263202,-42.655880,-71.580670,288477.9,5274169.0,1055.6715,1,0,0.95661414,5.76,11.52,14.93,19.57,20.39,18.30
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263203,-42.656165,-71.580110,288524.7,5274138.8,1028.3531,1,0,0.9539033,9.02,14.52,17.77,21.26,22.15,16.85
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263209,-42.657884,-71.576711,288809.1,5273956.4,946.66864,1,0,0.9632106,6.66,13.25,16.84,19.57,20.69,14.16
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263218,-42.660465,-71.571600,289236.8,5273682.5,851.12646,1,0,0.9662693,-0.93,-0.07,0.78,2.02,2.5,1.18
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263220,-42.661041,-71.570455,289332.6,5273621.4,848.94324,1,0,0.9568504,-0.44,1.01,3.85,6.47,7.18,2.47
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263230,-42.663932,-71.564670,289816.4,5273314.8,950.1134,1,0,0.9733758,1.23,4.07,6.7,10.4,11.64,13.63
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263233,-42.664802,-71.562921,289962.8,5273222.5,1008.853,1,0,0.9024501,-2.17,-0.07,2.02,4.9,5.76,14.80
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263235,-42.665381,-71.561760,290059.9,5273161.2,1035.5287,1,0,0.952672,-1.31,0.07,1.38,3.18,3.74,10.49
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263239,-42.666531,-71.559467,290251.7,5273039.1,1030.8568,1,0,0.9595987,0.63,3.29,6.06,8.57,9.24,12.59
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263242,-42.667393,-71.557748,290395.4,5272947.6,1024.2463,1,0,0.9744526,-1.04,0.71,2.73,5.2,5.91,7.09
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263243,-42.667680,-71.557177,290443.2,5272917.2,1018.58344,1,0,0.9517813,-0.37,1.45,4.3,7.03,7.71,11.25
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263258,-42.672004,-71.548522,291167.0,5272458.4,1119.0507,1,0,0.90050507,-1.83,-0.18,1.45,3.59,4.22,13.02
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263262,-42.673152,-71.546233,291358.4,5272336.6,1107.5955,1,0,0.96458644,1.75,12.8,17.18,20.36,21.11,9.91
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263263,-42.673439,-71.545665,291405.9,5272306.2,1096.8721,1,0,0.9576475,0.29,8.94,17.36,21.41,22.42,9.44
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263270,-42.675452,-71.541645,291742.1,5272092.5,1107.5204,1,0,0.9657059,0.48,2.76,4.97,7.03,7.67,13.37
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263272,-42.676030,-71.540486,291838.9,5272031.2,1130.7953,1,0,0.96663254,10.48,14.44,17.89,23.16,24.36,16.74
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263274,-42.676608,-71.539327,291935.8,5271969.8,1154.101,1,0,0.95362145,7.33,12.8,15.98,18.82,19.57,13.73
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263275,-42.676898,-71.538746,291984.4,5271939.1,1169.2914,1,0,0.95511353,5.35,8.3,10.92,13.54,14.29,16.14
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263277,-42.677472,-71.537606,292079.8,5271878.2,1155.3131,1,0,0.98086447,10.18,18.9,22.98,25.9,26.76,14.46
