h_mediana,a,b,agbd,n_alometria,rho_resid_altura,sd_montecarlo,sd_cuadratura,cociente,aoi,s1_altura_m,s3_referencia_Mg_ha
5.07,0.0622,2.427,3.1977,439,-0.0,16.2379,14.6635,1.1074,BOSQUE_NW_02,4.317,13.09
2.62,0.2332,2.3794,2.3068,1129,0.0,4.4072,4.0659,1.0839,ESTEPA_NW_02,1.311,2.998
