AOI,N_HUELLAS,N_CON_AGBD,RETENCION_L4A_PCT,AGBD_MEDIA_SIMPLE,EE_SIMPLE,AGBD_MEDIA_ESTRATIFICADA,EE_ESTRATIFICADA,SUP_MUESTREADA_HA,PCT_AOI_MUESTREADO,STOCK_Mg,STOCK_EE_Mg,HUELLAS_DE_BORDE
BOSQUE_NW_02,690,495,71.7,36.43,2.41,44.32,2.2,22177.9,98.6,982905,48733,70
ESTEPA_NW_02,3083,1129,36.6,8.59,0.49,7.28,0.27,22324.8,99.2,162554,6133,183
