aoi,s1_altura_m,s2_conversion_Mg_ha,s3_L4A_Mg_ha,alometria_a,alometria_b,R2_conversion,n_con_biomasa
BOSQUE_NW_02,4.317,13.581,13.090,0.0394,2.6052,0.9178,430
ESTEPA_NW_02,1.311,4.717,2.998,0.2394,2.3471,0.8273,1115
