aoi,n,variables,altura_pre_mediana_m,altura_post_mediana_m,cambio_mediano_m
BOSQUE_NW_02,675,NDVI EVI NDMI NBR g0_C_VH g0_C_VV g0_L_SAOCOM_HH g0_L_SAOCOM_HV,8.631,3.841,-4.368
ESTEPA_NW_02,3036,NDVI EVI NDMI NBR g0_C_VH g0_C_VV g0_L_SAOCOM_HH g0_L_SAOCOM_HV,2.742,2.597,-0.112
