Nivel,n segmentos Bosque,n segmentos Estepa,mediana segmentos Bosque,mediana segmentos Estepa,diferencia mediana segmentos,n gránulos Bosque,n gránulos Estepa,mediana de medianas Bosque,mediana de medianas Estepa,diferencia granule-level,IC95 inferior,IC95 superior,Cliff delta,Mann-Whitney p
Operacional,1949,1923,16.2763671875,10.4478759765625,5.8284912109375,20,26,14.859451293945312,11.114166259765625,3.7452850341796875,2.582808303833008,6.0665283203125,0.6807692307692308,9.19253431116932e-05
Conservador,905,1482,10.98480224609375,9.7647705078125,1.22003173828125,17,24,10.78265380859375,10.289764404296875,0.492889404296875,-1.5845947265625,3.1427791595458276,0.22549019607843138,0.2285672846295076
