AOI,Gránulos candidatos CMR,Gránulos con segmentos,Segmentos brutos,Altura válida,Sin nieve,Operacional,Conservador,% operacional,% conservador,Fecha inicial,Fecha final,RGT,Ciclos
Bosque,67,47,17694,17051,15857,1949,905,11.015033344636599,5.11472815643721,2018-11-22,2026-04-09,4,28
Estepa,80,52,19912,16196,13128,1923,1482,9.657492969063881,7.442748091603053,2018-12-21,2026-04-08,4,29
