AOI,Grupo,n,mean,sd,min,p25,median,p75,p90,p95,p99,max
Bosque,gt1l,325,18.91762451171875,8.020308752548752,2.8587646484375,12.691650390625,19.0035400390625,24.2593994140625,27.93828125,31.778515625,36.84992187499999,58.8623046875
Bosque,gt1r,283,16.26492190950751,6.697660657810359,1.369384765625,10.85821533203125,15.66253662109375,20.97637939453125,24.728857421875002,26.77322998046875,31.068596191406254,48.1351318359375
Bosque,gt2l,356,16.8025967030043,9.700216131231807,2.497314453125,11.12579345703125,16.7254638671875,21.899749755859375,25.9368896484375,29.016845703125,34.403857421875,132.5576171875
Bosque,gt2r,434,16.86545109199489,8.91327960897627,3.3248291015625,10.347732543945312,16.74810791015625,22.43145751953125,26.28653564453125,28.87572326660156,34.682988281250005,118.3690185546875
Bosque,gt3l,274,15.347060377580407,7.661135182451528,3.024658203125,9.387649536132812,14.57757568359375,20.54644775390625,25.73872680664063,27.376287841796874,34.01272827148436,59.681884765625
Bosque,gt3r,277,14.61435718742949,8.422882846751502,2.09716796875,7.54669189453125,13.61236572265625,20.48486328125,25.286865234375004,28.346972656249996,33.19751464843752,53.9595947265625
Estepa,gt1l,388,10.394449450306057,5.264372963748319,0.9239501953125,6.856597900390625,10.12298583984375,13.061279296875,18.3667724609375,19.718524169921874,23.650523071289058,26.59515380859375
Estepa,gt1r,359,10.795290126109855,6.329975750588536,1.51519775390625,6.46563720703125,9.814453125,13.957366943359375,18.250805664062497,21.396008300781244,30.383076171875043,52.5238037109375
Estepa,gt2l,368,11.557061734406844,7.410751695247151,1.6510009765625,8.7049560546875,11.042327880859375,13.296051025390625,17.935668945312504,20.357696533203125,26.15018432617184,120.06396484375
Estepa,gt2r,313,11.804671119958067,7.158149888305628,1.97796630859375,8.34014892578125,11.20947265625,13.997314453125,17.126318359375002,19.952783203124998,25.512597656249998,82.9097900390625
Estepa,gt3l,267,10.585739764381437,4.721275100313089,1.87451171875,8.184051513671875,10.64166259765625,13.01763916015625,15.219677734375,16.71429443359375,20.860103759765618,50.8614501953125
Estepa,gt3r,228,9.89034712942023,6.083332677561906,1.96356201171875,5.1727447509765625,9.281341552734375,12.04522705078125,19.05032958984375,22.81693115234374,29.528300781249996,32.0477294921875
