n,mean,sd,min,p25,median,p75,p90,p95,p99,max,AOI,Nivel
17051,13.356490286149823,8.51427494624922,1.369384765625,6.473419189453125,12.217041015625,19.0111083984375,23.626708984375,25.9925537109375,31.953369140625,145.57928466796875,Bosque,Altura válida
15857,13.200951718108278,8.255487061492172,1.369384765625,6.3341064453125,11.881591796875,19.009765625,23.6694091796875,26.028149414062497,31.341257324218784,133.9925537109375,Bosque,Sin nieve
1949,16.57557852810135,8.48489242826383,1.369384765625,10.2349853515625,16.2763671875,22.05126953125,26.4146240234375,29.0023193359375,34.7596435546875,132.5576171875,Bosque,Operacional
905,11.974359164580456,6.2179312931849955,1.369384765625,6.68975830078125,10.98480224609375,16.1947021484375,20.62882080078125,22.898828124999998,29.32688964843753,35.2247314453125,Bosque,Conservador
16196,9.81477169791514,6.836487530526171,0.76617431640625,5.6343994140625,8.8934326171875,12.243408203125,16.82293701171875,20.10345458984375,28.154290771484366,142.05767822265625,Estepa,Altura válida
13128,9.766241502500321,6.815652069729197,0.76617431640625,5.59906005859375,9.10394287109375,12.288375854492188,16.361572265625004,19.429403686523433,26.491082763671873,142.05767822265625,Estepa,Sin nieve
1923,10.888095675194196,6.3014041868918635,0.9239501953125,7.510009765625,10.4478759765625,13.2947998046875,17.7322998046875,20.081982421875,26.06765625,120.06396484375,Estepa,Operacional
1482,9.645773986734037,4.474167916328065,0.9239501953125,6.4098663330078125,9.7647705078125,12.285202026367188,15.089990234375,17.74157104492188,21.19865478515625,26.59515380859375,Estepa,Conservador
