shot_number,aoi,sitio,lat,lon,este_utm19s,norte_utm19s,particion,rh95,rh50,pai,cover,fhd_normal,pendiente_grados,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag,NDVI,EVI,NDMI,NBR,g0_C_VH,g0_C_VV,g0_L_SAOCOM_HH,g0_L_SAOCOM_HV,g0_L_NISAR_HH,g0_L_NISAR_HV,g0_L_PALSAR2_HH,g0_L_PALSAR2_HV,COB_N3,COB_GRUPO,COB_FRAC,COB_NCLASES,COB_BORDE,COB_FRAC_BOSQUE
356600500400192991,ESTEPA_NW_02,estepa,-42.755601,-71.129422,325744.8,5264125.9,entrenamiento,2.84,-0.18,0.07507426,0.036841005,1.6029766,13.32,,,,,,0.18074,0.11635,-0.00654,0.07970,-18.077,-11.266,-17.448,-28.346,-15.623,-21.992,-14.476,-23.637,Estepa,estepa,1.0,1,NO,0.0
356600500400192992,ESTEPA_NW_02,estepa,-42.755885,-71.128849,325792.5,5264095.5,entrenamiento,3.07,-0.22,0.07208489,0.03540034,1.7066996,14.76,,,,,,0.18127,0.11798,-0.04166,0.03771,-19.005,-11.935,-16.766,-27.550,-15.168,-21.744,-14.085,-23.578,Estepa,estepa,1.0,1,NO,0.0
356600500400192993,ESTEPA_NW_02,estepa,-42.756169,-71.128276,325840.2,5264065.2,entrenamiento,2.39,-0.52,0.016057368,0.007996525,0.74490213,16.47,,,,,,0.18038,0.11467,-0.07384,0.01302,-18.652,-10.814,-15.754,-26.501,-14.544,-21.228,-14.167,-22.411,Estepa,estepa,1.0,1,NO,0.0
356600500400192994,ESTEPA_NW_02,estepa,-42.756452,-71.127704,325887.7,5264035.0,entrenamiento,3.59,-0.26,0.07350664,0.036085792,1.0810868,18.66,,,,,,0.19730,0.13511,-0.03495,0.05263,-18.251,-10.610,-15.891,-26.942,-14.266,-20.773,-13.764,-21.855,Estepa,estepa,1.0,1,NO,0.0
356600500400192996,ESTEPA_NW_02,estepa,-42.757017,-71.126560,325982.9,5263974.6,entrenamiento,3.03,-0.18,0.11562667,0.056173097,1.6655786,18.63,,,,,,0.19643,0.13386,-0.11550,-0.00593,-17.833,-11.862,-17.002,-27.786,-14.586,-20.773,-13.386,-21.518,Estepa,estepa,1.0,1,NO,0.0
356600500400192997,ESTEPA_NW_02,estepa,-42.757300,-71.125988,326030.6,5263944.3,entrenamiento,3.07,-0.41,0.026061649,0.01294625,0.9406695,19.55,3.7229545,2.996288,GSW_SA,certificada,0,0.18700,0.12754,-0.09854,0.00502,-18.589,-11.905,-16.279,-27.499,-14.797,-20.520,-13.441,-21.148,Estepa,estepa,1.0,1,NO,0.0
356600500400192998,ESTEPA_NW_02,estepa,-42.757582,-71.125416,326078.1,5263914.2,entrenamiento,4.6,0.18,0.33286375,0.1533134,1.8539189,19.22,,,,,,0.17394,0.11284,-0.09368,-0.00050,-18.767,-11.830,-16.663,-28.130,-14.831,-20.699,-14.071,-21.276,Estepa,estepa,1.0,1,NO,0.0
356600500400192999,ESTEPA_NW_02,estepa,-42.757866,-71.124843,326125.8,5263883.9,entrenamiento,2.32,-0.26,0.04125248,0.02041487,1.0788782,16.92,,,,,,0.20773,0.13649,-0.09179,0.01153,-18.843,-12.383,-17.616,-28.849,-14.805,-21.043,-14.740,-21.477,Estepa,estepa,1.0,1,NO,0.0
356600500400193000,ESTEPA_NW_02,estepa,-42.758149,-71.124270,326173.6,5263853.6,entrenamiento,2.65,-0.18,0.10478445,0.051042758,1.5276093,17.94,2.3783236,3.000551,GSW_SA,certificada,0,0.24584,0.14718,-0.16031,-0.04411,-18.792,-12.102,-17.519,-28.426,-14.969,-21.339,-14.724,-20.591,Estepa,estepa,1.0,1,NO,0.0
356600500400193001,ESTEPA_NW_02,estepa,-42.758433,-71.123696,326221.3,5263823.3,entrenamiento,2.73,-0.29,0.037892625,0.018767871,1.0784099,19.14,,,,,,0.19614,0.12491,-0.14519,-0.04639,-19.324,-12.071,-15.368,-27.398,-14.909,-20.883,-15.007,-20.480,Estepa,estepa,1.0,1,NO,0.0
356600500400193010,ESTEPA_NW_02,estepa,-42.760960,-71.118555,326649.0,5263553.2,entrenamiento,3.93,-0.03,0.1547378,0.07445024,1.7637559,18.20,6.1638074,2.991151,GSW_SA,certificada,0,0.36069,0.20382,-0.07620,0.04161,-18.298,-12.484,-16.469,-25.252,-12.981,-19.506,-13.365,-19.814,Estepa,estepa,1.0,1,NO,0.0
356600500400193011,ESTEPA_NW_02,estepa,-42.761244,-71.117980,326696.9,5263522.8,entrenamiento,6.14,0.78,0.6723818,0.285491,2.0155237,14.50,,,,,,0.24941,0.15042,-0.12153,-0.03219,-17.917,-11.017,-16.491,-23.899,-11.343,-18.610,-12.253,-18.541,Estepa,estepa,1.0,1,NO,0.0
356600500400193012,ESTEPA_NW_02,estepa,-42.761528,-71.117406,326744.7,5263492.5,entrenamiento,4.83,0.22,0.4834005,0.21469618,1.8589132,10.27,9.793799,2.986565,GSW_SA,certificada,0,0.33884,0.19400,-0.09520,0.01579,-18.034,-10.918,-16.533,-24.335,-11.918,-18.302,-12.986,-18.890,Estepa,estepa,1.0,1,NO,0.0
356600500400193013,ESTEPA_NW_02,estepa,-42.761813,-71.116829,326792.6,5263462.0,entrenamiento,7.9,1.46,1.2282008,0.45881015,2.1123786,3.78,25.773844,2.9819973,GSW_SA,certificada,0,0.34548,0.20399,-0.10559,0.01492,-18.465,-10.718,-16.825,-24.227,-12.072,-18.378,-12.894,-18.547,Ñire Bajo,nire,1.0,1,NO,1.0
356600500400193014,ESTEPA_NW_02,estepa,-42.762098,-71.116253,326840.5,5263431.5,entrenamiento,2.84,-0.07,0.19850278,0.09448268,1.7560701,1.06,,,,,,0.24792,0.14109,-0.16744,-0.07935,-17.880,-10.974,-16.564,-23.449,-11.075,-17.591,-12.342,-17.809,Ñire Bajo,nire,1.0,1,NO,1.0
356600500400193015,ESTEPA_NW_02,estepa,-42.762383,-71.115677,326888.5,5263401.0,entrenamiento,5.2,0.33,0.57444113,0.24963698,1.8457105,0.92,11.500147,2.985144,GSW_SA,certificada,0,0.51430,0.29028,0.01346,0.18155,-17.596,-10.569,-16.137,-22.937,-10.294,-16.718,-11.593,-17.277,Ñire Bajo,nire,1.0,1,NO,1.0
356600500400193016,ESTEPA_NW_02,estepa,-42.762669,-71.115101,326936.4,5263370.5,entrenamiento,4.23,0.0,0.24702574,0.11618627,1.8553543,1.57,,,,,,0.57470,0.32639,0.04926,0.22185,-17.326,-10.750,-16.654,-23.602,-10.209,-16.905,-11.884,-17.151,Ñire Bajo,nire,1.0,1,NO,1.0
356600500400193017,ESTEPA_NW_02,estepa,-42.762954,-71.114524,326984.4,5263340.0,entrenamiento,2.84,-0.22,0.15886456,0.07635796,1.8220185,1.77,3.624111,2.9965553,GSW_SA,certificada,0,0.53322,0.31392,-0.01185,0.14666,-18.646,-11.699,-19.023,-26.709,-12.682,-19.972,-14.514,-19.618,Ñire Bajo,nire,0.9182,2,NO,0.9182
356600500400193018,ESTEPA_NW_02,estepa,-42.763240,-71.113948,327032.3,5263309.5,entrenamiento,2.09,-0.18,0.065280914,0.03211325,1.2964177,2.84,,,,,,0.21275,0.11393,-0.25177,-0.17958,-21.084,-12.902,-21.786,-29.687,-15.629,-22.182,-17.405,-23.037,Estepa,estepa,1.0,1,NO,0.0
356600500400193019,ESTEPA_NW_02,estepa,-42.763525,-71.113372,327080.3,5263279.0,entrenamiento,3.25,0.03,0.25764102,0.120864496,1.4676036,3.20,,,,,,0.19787,0.10543,-0.23783,-0.16841,-21.857,-13.356,-22.468,-30.581,-16.661,-23.348,-18.393,-25.421,Estepa,estepa,1.0,1,NO,0.0
356600500400193020,ESTEPA_NW_02,estepa,-42.763811,-71.112795,327128.3,5263248.4,entrenamiento,2.05,-0.14,0.07399718,0.036322176,1.3966268,2.77,,,,,,0.12370,0.06854,-0.17477,-0.12033,-22.206,-13.511,-22.021,-31.403,-17.219,-24.298,-18.893,-27.010,Estepa,estepa,1.0,1,NO,0.0
356600500400193021,ESTEPA_NW_02,estepa,-42.764096,-71.112219,327176.2,5263217.9,entrenamiento,1.94,-0.18,0.0388116,0.01921863,1.2531276,2.00,,,,,,0.14415,0.08024,-0.15916,-0.10677,-22.110,-13.826,-19.010,-31.312,-17.439,-24.759,-18.646,-28.201,Estepa,estepa,1.0,1,NO,0.0
356600500400193022,ESTEPA_NW_02,estepa,-42.764381,-71.111644,327224.1,5263187.5,entrenamiento,2.62,-0.03,0.22512008,0.106453404,1.4259912,1.83,,,,,,0.10556,0.06422,-0.10499,-0.04529,-21.963,-13.645,-18.955,-31.392,-16.961,-24.545,-18.427,-27.891,Estepa,estepa,0.6939,2,SI,0.0
356600500400193023,ESTEPA_NW_02,estepa,-42.764666,-71.111067,327272.0,5263157.0,entrenamiento,2.24,-0.14,0.14226611,0.06866085,1.4099746,1.36,,,,,,0.11124,0.06771,-0.10786,-0.05451,-21.525,-14.030,-20.084,-30.637,-16.627,-24.261,-17.548,-26.332,Erial,estepa,1.0,1,NO,0.0
356600500400193024,ESTEPA_NW_02,estepa,-42.764952,-71.110491,327320.0,5263126.4,entrenamiento,2.17,-0.18,0.051309615,0.02532836,1.4317311,1.36,1.3311168,3.0053778,GSW_SA,certificada,0,0.21118,0.11728,-0.19005,-0.12085,-21.319,-14.351,-18.358,-27.483,-15.833,-22.819,-17.350,-24.765,Estepa,estepa,1.0,1,NO,0.0
356600500400193025,ESTEPA_NW_02,estepa,-42.765237,-71.109915,327367.9,5263095.9,entrenamiento,2.05,-0.18,0.059937876,0.029524105,1.3570435,2.91,,,,,,0.16339,0.09783,-0.15625,-0.09252,-20.370,-14.034,-20.822,-29.030,-15.179,-22.186,-17.031,-25.418,Estepa,estepa,1.0,1,NO,0.0
356600500400193026,ESTEPA_NW_02,estepa,-42.765523,-71.109339,327415.9,5263065.4,entrenamiento,2.58,-0.11,0.16708438,0.0801461,1.5324426,7.47,,,,,,0.18105,0.09859,-0.21432,-0.12900,-21.677,-14.166,-22.309,-29.835,-16.846,-24.347,-18.380,-26.427,Estepa,estepa,1.0,1,NO,0.0
356600500400193027,ESTEPA_NW_02,estepa,-42.765810,-71.108761,327463.9,5263034.7,entrenamiento,4.68,0.18,0.34699556,0.15927437,1.9465739,15.89,9.634492,2.986717,GSW_SA,certificada,0,0.18859,0.09635,-0.26074,-0.19838,-20.946,-13.995,-21.523,-29.344,-15.582,-24.358,-16.680,-24.944,Estepa,estepa,1.0,1,NO,0.0
