archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,pai,fhd_normal,cover,l2b_quality_flag_rel3
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262747,-42.641940,-71.585111,288066.5,5275706.0,3.658015,2.9825199,0.8388103,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262748,-42.642231,-71.584530,288115.0,5275675.2,3.8350196,2.8838282,0.8523819,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262749,-42.642522,-71.583947,288163.9,5275644.3,1.8447347,2.9589603,0.60215676,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262750,-42.642816,-71.583355,288213.4,5275613.1,4.0943155,2.6607099,0.8702131,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262751,-42.643107,-71.582771,288262.3,5275582.3,0.021689601,0.6365142,0.010786142,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262752,-42.643392,-71.582207,288309.5,5275552.0,0.4701526,1.909058,0.2094627,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262753,-42.643680,-71.581633,288357.5,5275521.5,1.2049192,2.2804515,0.45239782,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262754,-42.643968,-71.581058,288405.6,5275490.9,0.50276715,1.8293065,0.22224572,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262755,-42.644255,-71.580490,288453.1,5275460.5,2.7859054,2.4466496,0.75120044,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262756,-42.644540,-71.579925,288500.5,5275430.2,2.3873885,2.9223256,0.6965217,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262757,-42.644823,-71.579366,288547.3,5275400.2,4.107948,2.84807,0.871088,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262758,-42.645107,-71.578806,288594.1,5275370.1,-9999.0,-9999.0,-9999.0,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262759,-42.645390,-71.578247,288640.9,5275340.0,-9999.0,-9999.0,-9999.0,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262760,-42.645673,-71.577690,288687.6,5275310.0,3.476719,3.1295047,0.82360524,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262761,-42.645959,-71.577120,288735.2,5275279.7,3.9619162,2.6621075,0.86139745,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262762,-42.646233,-71.576591,288779.5,5275250.6,-9999.0,-9999.0,-9999.0,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262763,-42.646515,-71.576037,288825.9,5275220.7,-9999.0,-9999.0,-9999.0,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262764,-42.646800,-71.575472,288873.2,5275190.4,2.657583,2.6558912,0.7347695,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262765,-42.647081,-71.574919,288919.4,5275160.6,4.645445,3.2743895,0.90123135,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262766,-42.647366,-71.574353,288966.8,5275130.3,3.2589264,3.1238093,0.80341744,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262767,-42.647941,-71.573206,289062.8,5275069.3,4.791168,2.4493322,0.90809995,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262768,-42.648227,-71.572637,289110.4,5275039.0,0.7040841,1.9410753,0.29669383,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262769,-42.648508,-71.572087,289156.5,5275009.2,3.3624353,3.0703099,0.81328654,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262770,-42.648788,-71.571537,289202.5,5274979.5,-9999.0,-9999.0,-9999.0,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262771,-42.649071,-71.570979,289249.2,5274949.5,-9999.0,-9999.0,-9999.0,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262772,-42.649353,-71.570421,289295.9,5274919.5,4.1540003,2.5433123,0.87399983,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262773,-42.649635,-71.569865,289342.5,5274889.5,2.5760963,2.426755,0.72377425,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262774,-42.649918,-71.569306,289389.2,5274859.5,4.4295335,2.4967012,0.8900873,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262775,-42.650205,-71.568735,289437.0,5274829.1,2.7015727,2.5234919,0.7405213,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262776,-42.650492,-71.568162,289484.9,5274798.6,1.3963917,2.3784454,0.5023425,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262777,-42.650779,-71.567590,289532.8,5274768.2,1.2843602,2.5098195,0.47370207,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262778,-42.651067,-71.567017,289580.7,5274737.7,0.82039136,2.4300945,0.33640686,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262779,-42.651354,-71.566445,289628.6,5274707.2,0.025504166,1.5136406,0.012671029,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262780,-42.651641,-71.565872,289676.5,5274676.7,1.0025734,2.6100934,0.3941468,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262781,-42.651928,-71.565299,289724.5,5274646.2,1.148005,2.5434208,0.4366053,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262782,-42.652216,-71.564725,289772.5,5274615.7,0.92304105,2.5528727,0.3695864,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262783,-42.652504,-71.564151,289820.5,5274585.2,3.0259123,2.567026,0.7792373,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262784,-42.652796,-71.563561,289869.8,5274554.2,1.5697675,2.5640326,0.5436171,0
