archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,pai,fhd_normal,cover,l2b_quality_flag_rel3
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193459,-42.713691,-71.037570,333149.2,5268965.6,0.01978625,1.3579772,0.009844308,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193460,-42.713977,-71.036996,333196.9,5268934.9,0.3578261,1.5360725,0.16380937,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193461,-42.714265,-71.036421,333244.8,5268904.1,0.013691499,1.009012,0.006822351,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193462,-42.714551,-71.035850,333292.3,5268873.6,0.023454815,0.86872876,0.011658852,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193463,-42.714837,-71.035277,333340.0,5268842.9,0.09054819,1.4075843,0.044263672,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193464,-42.715123,-71.034704,333387.7,5268812.2,0.14634739,1.5565639,0.070558466,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193465,-42.715410,-71.034130,333435.5,5268781.5,0.12850863,1.4840981,0.062231846,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193466,-42.715696,-71.033557,333483.2,5268750.8,0.15616482,1.4988836,0.07510935,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193467,-42.715983,-71.032983,333530.9,5268720.1,0.09855396,1.2185048,0.048081577,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193468,-42.716269,-71.032410,333578.6,5268689.5,0.13418807,1.252565,0.06489091,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193469,-42.716556,-71.031837,333626.3,5268658.8,0.11324844,1.2427719,0.0550496,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193470,-42.716842,-71.031263,333674.0,5268628.1,0.20502146,1.4545373,0.09742738,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193471,-42.717129,-71.030689,333721.8,5268597.4,0.20824282,1.4120952,0.09887983,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193472,-42.717415,-71.030115,333769.5,5268566.7,0.13226031,1.2299297,0.0639892,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193473,-42.717702,-71.029541,333817.4,5268536.0,0.10790077,1.2371813,0.052519698,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193474,-42.717989,-71.028966,333865.2,5268505.2,0.06417593,1.2231684,0.031578183,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193475,-42.718276,-71.028393,333912.9,5268474.6,0.02953785,1.2637774,0.014660308,1
