producto,sensor,fecha,magnitud,fuente_formula,pendiente,R2,RMSE,n
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20260110_062711_R164_4F77.dim,Sentinel_1,20260110,gamma0_VH_dB,-,0.02281,0.0272,1.0276,914
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20260110_062711_R164_4F77.dim,Sentinel_1,20260110,RVI_dual_VV_VH,Trudel et al. (2012),-0.00081,0.0049,0.0862,914
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20251123_062011_R164_2611.dim,Sentinel_1,20251123,gamma0_VH_dB,-,0.02524,0.0388,0.9464,914
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20251123_062011_R164_2611.dim,Sentinel_1,20251123,RVI_dual_VV_VH,Trudel et al. (2012),-0.00120,0.0077,0.1028,914
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20260110_062711_R164_7E2D.dim,Sentinel_1,20260110,gamma0_VH_dB,-,0.02391,0.0339,0.9612,914
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20260110_062711_R164_7E2D.dim,Sentinel_1,20260110,RVI_dual_VV_VH,Trudel et al. (2012),-0.00067,0.0030,0.0916,914
Sentinel_1\03_post_incendio_2026\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20260227_063411_R164_6569.dim,Sentinel_1,20260227,gamma0_VH_dB,-,0.20846,0.3705,2.0471,914
Sentinel_1\03_post_incendio_2026\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20260227_063411_R164_6569.dim,Sentinel_1,20260227,RVI_dual_VV_VH,Trudel et al. (2012),0.00897,0.1891,0.1400,914
Sentinel_1\03_post_incendio_2026\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20260227_063411_R164_93A9.dim,Sentinel_1,20260227,gamma0_VH_dB,-,0.18221,0.3696,1.7929,914
Sentinel_1\03_post_incendio_2026\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20260227_063411_R164_93A9.dim,Sentinel_1,20260227,RVI_dual_VV_VH,Trudel et al. (2012),0.00632,0.0992,0.1434,914
ALOS_PALSAR_2\01_linea_base_2023_24\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2023.tif,ALOS_PALSAR_2,,gamma0_HV_dB,-,0.12056,0.2004,1.8144,914
ALOS_PALSAR_2\01_linea_base_2023_24\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2023.tif,ALOS_PALSAR_2,,RVI_dual_HH_HV,Trudel et al. (2012),0.00169,0.0091,0.1335,914
ALOS_PALSAR_2\01_linea_base_2023_24\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2023.tif,ALOS_PALSAR_2,,RFDI,SAR Handbook 5.3,-0.00085,0.0091,0.0668,914
ALOS_PALSAR_2\01_linea_base_2023_24\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2024.tif,ALOS_PALSAR_2,,gamma0_HV_dB,-,0.11318,0.1867,1.7795,914
ALOS_PALSAR_2\01_linea_base_2023_24\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2024.tif,ALOS_PALSAR_2,,RVI_dual_HH_HV,Trudel et al. (2012),0.00267,0.0252,0.1250,914
ALOS_PALSAR_2\01_linea_base_2023_24\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2024.tif,ALOS_PALSAR_2,,RFDI,SAR Handbook 5.3,-0.00133,0.0252,0.0625,914
ALOS_PALSAR_2\02_pre_incendio_2025_26\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2025.tif,ALOS_PALSAR_2,,gamma0_HV_dB,-,0.11419,0.1770,1.8552,914
ALOS_PALSAR_2\02_pre_incendio_2025_26\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2025.tif,ALOS_PALSAR_2,,RVI_dual_HH_HV,Trudel et al. (2012),0.00147,0.0072,0.1305,914
ALOS_PALSAR_2\02_pre_incendio_2025_26\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2025.tif,ALOS_PALSAR_2,,RFDI,SAR Handbook 5.3,-0.00074,0.0072,0.0653,914
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20251204.tif,NISAR,20251204,gamma0_HV_dB,-,0.10069,0.2201,1.4279,914
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20251204.tif,NISAR,20251204,RVI_dual_HH_HV,Trudel et al. (2012),0.00194,0.0310,0.0815,914
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20251204.tif,NISAR,20251204,RFDI,SAR Handbook 5.3,-0.00097,0.0310,0.0408,914
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20251228.tif,NISAR,20251228,gamma0_HV_dB,-,0.11365,0.2507,1.4804,914
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20251228.tif,NISAR,20251228,RVI_dual_HH_HV,Trudel et al. (2012),0.00131,0.0146,0.0810,914
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20251228.tif,NISAR,20251228,RFDI,SAR Handbook 5.3,-0.00065,0.0146,0.0405,914
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20260108.tif,NISAR,20260108,gamma0_HV_dB,-,0.12673,0.2730,1.5580,914
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20260108.tif,NISAR,20260108,RVI_dual_HH_HV,Trudel et al. (2012),0.00236,0.0396,0.0875,914
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20260108.tif,NISAR,20260108,RFDI,SAR Handbook 5.3,-0.00118,0.0396,0.0438,914
