shot_number,rh95,fuente,gamma0_dB
334320300400258254,6.99,S1 VH,-15.639
334320300400258255,23.61,S1 VH,-15.524
334320300400258256,19.12,S1 VH,-14.963
334320300400258259,26.38,S1 VH,-15.049
334320300400258260,14.33,S1 VH,-15.886
334320300400258261,21.93,S1 VH,-16.483
334320300400258263,11.94,S1 VH,-15.833
334320300400258264,18.75,S1 VH,-15.081
334320300400258267,23.84,S1 VH,-14.876
334320300400258269,16.69,S1 VH,-14.447
334320300400258270,22.0,S1 VH,-14.56
334320300400258272,16.91,S1 VH,-15.454
334320300400258275,8.57,S1 VH,-14.793
334320300400258279,5.57,S1 VH,-14.99
334320300400258280,6.84,S1 VH,-14.985
334320300400258282,12.23,S1 VH,-16.025
334320300400258284,17.1,S1 VH,-15.332
334320300400258286,12.46,S1 VH,-15.587
334320300400258288,8.19,S1 VH,-14.912
334320300400258290,8.64,S1 VH,-14.517
334320300400258293,6.4,S1 VH,-15.079
334320300400258294,4.97,S1 VH,-14.726
334320300400258305,8.01,S1 VH,-15.05
334320300400258310,11.26,S1 VH,-14.962
334320300400258312,15.68,S1 VH,-14.985
334320300400258313,9.13,S1 VH,-15.512
334320300400258319,27.73,S1 VH,-14.933
334320300400258320,22.27,S1 VH,-15.108
334320300400258324,19.95,S1 VH,-15.101
334320300400258327,17.92,S1 VH,-14.673
334320300400258328,18.9,S1 VH,-14.589
334320300400258330,17.81,S1 VH,-15.209
334320300400258332,24.51,S1 VH,-14.943
334320300400258333,14.86,S1 VH,-14.955
334320300400258335,24.81,S1 VH,-15.44
334320300400258336,6.99,S1 VH,-15.712
334320300400258337,4.3,S1 VH,-15.695
334320300400258338,5.5,S1 VH,-15.86
334320300400258339,18.11,S1 VH,-15.426
334320300400258340,4.19,S1 VH,-15.316
334320300400258343,16.76,S1 VH,-15.757
334320300400258345,8.9,S1 VH,-15.776
334320300400258346,9.69,S1 VH,-15.973
334320300400258347,5.42,S1 VH,-15.897
334320300400258350,6.43,S1 VH,-16.186
334320300400258355,2.58,S1 VH,-16.763
334320300400258360,6.88,S1 VH,-14.652
334320300400258363,10.63,S1 VH,-15.873
334320300400258365,2.76,S1 VH,-18.363
334320300400258366,3.55,S1 VH,-20.375
334320500400258178,12.68,S1 VH,-15.579
334320500400258179,13.28,S1 VH,-16.52
334320500400258180,5.23,S1 VH,-16.356
334320500400258181,5.35,S1 VH,-15.342
334320500400258182,6.02,S1 VH,-14.755
334320500400258183,12.23,S1 VH,-14.794
334320500400258184,17.25,S1 VH,-15.114
334320500400258185,16.8,S1 VH,-15.223
334320500400258186,25.74,S1 VH,-15.164
334320500400258187,23.72,S1 VH,-14.829
334320500400258188,29.18,S1 VH,-14.919
334320500400258189,30.23,S1 VH,-14.82
334320500400258190,25.22,S1 VH,-14.561
334320500400258191,26.04,S1 VH,-14.533
334320500400258192,9.39,S1 VH,-14.668
334320500400258193,12.57,S1 VH,-14.677
334320500400258194,14.66,S1 VH,-14.586
334320500400258195,5.12,S1 VH,-14.946
334320500400258196,9.16,S1 VH,-15.398
334320500400258197,9.24,S1 VH,-15.279
334320500400258198,6.21,S1 VH,-15.034
334320500400258199,2.24,S1 VH,-14.892
334320500400258200,6.92,S1 VH,-15.286
334320500400258201,2.2,S1 VH,-15.299
334320500400258202,2.09,S1 VH,-16.446
334320500400258203,2.17,S1 VH,-18.361
334320500400258204,2.02,S1 VH,-20.482
334320500400258205,2.02,S1 VH,-21.671
334320500400258206,2.02,S1 VH,-21.857
334320500400258207,2.05,S1 VH,-21.78
334320500400258208,1.98,S1 VH,-21.801
334320500400258209,2.05,S1 VH,-21.869
334320500400258210,2.13,S1 VH,-20.198
334320500400258211,6.13,S1 VH,-17.875
334320500400258212,8.94,S1 VH,-15.879
334320500400258213,30.12,S1 VH,-14.974
334320500400258214,2.69,S1 VH,-14.729
334320500400258215,3.06,S1 VH,-14.91
334320500400258216,4.78,S1 VH,-14.907
334320500400258217,4.07,S1 VH,-14.253
334320500400258218,3.77,S1 VH,-14.407
334320500400258219,3.21,S1 VH,-14.293
334320500400258220,9.5,S1 VH,-15.35
334320500400258221,4.41,S1 VH,-15.47
334320500400258222,4.22,S1 VH,-15.463
334320500400258223,9.05,S1 VH,-15.246
334320500400258224,7.1,S1 VH,-15.315
334320500400258225,6.47,S1 VH,-15.434
334320500400258226,6.36,S1 VH,-15.873
334320500400258227,8.86,S1 VH,-15.73
334320500400258228,7.33,S1 VH,-15.627
334320500400258229,8.38,S1 VH,-15.9
334320500400258230,23.83,S1 VH,-16.515
334320500400258231,9.35,S1 VH,-16.801
334320500400258232,16.2,S1 VH,-16.824
334320500400258233,4.3,S1 VH,-16.597
334320500400258234,5.87,S1 VH,-16.652
334320500400258235,6.58,S1 VH,-16.924
334320500400258236,7.37,S1 VH,-18.135
334320500400258237,4.34,S1 VH,-18.75
334320500400258238,6.88,S1 VH,-18.887
334320500400258239,7.85,S1 VH,-17.322
334320500400258240,24.09,S1 VH,-16.104
334320500400258241,18.11,S1 VH,-15.775
334320500400258242,25.63,S1 VH,-15.663
334320500400258243,9.39,S1 VH,-15.403
334320500400258244,14.81,S1 VH,-15.326
334320500400258245,12.53,S1 VH,-15.235
334320500400258246,13.2,S1 VH,-15.186
334320500400258247,17.21,S1 VH,-15.579
334320500400258248,11.22,S1 VH,-16.379
334320500400258249,20.5,S1 VH,-15.967
334320500400258250,14.1,S1 VH,-15.755
334320500400258251,12.46,S1 VH,-15.797
334320500400258252,19.34,S1 VH,-15.145
334320500400258253,24.09,S1 VH,-14.907
334320500400258254,23.38,S1 VH,-15.037
334320500400258255,27.76,S1 VH,-14.856
334320500400258256,32.63,S1 VH,-15.259
334320500400258257,19.42,S1 VH,-15.654
334320500400258258,23.83,S1 VH,-15.821
334320500400258259,19.12,S1 VH,-16.015
334320500400258260,23.49,S1 VH,-16.753
334320500400258261,12.64,S1 VH,-17.359
334320500400258262,12.27,S1 VH,-17.04
334320500400258263,11.07,S1 VH,-16.681
334320500400258264,16.95,S1 VH,-16.778
334320500400258265,14.29,S1 VH,-17.012
334320500400258266,6.58,S1 VH,-16.292
334320500400258267,8.86,S1 VH,-15.905
334320500400258268,6.39,S1 VH,-15.124
334320500400258269,5.46,S1 VH,-15.323
334320500400258270,5.65,S1 VH,-15.637
334320500400258271,6.66,S1 VH,-15.772
334320500400258272,5.23,S1 VH,-15.347
334320600400967033,12.83,S1 VH,-15.205
334320600400967034,23.5,S1 VH,-14.835
334320600400967035,25.37,S1 VH,-14.605
334320600400967036,26.83,S1 VH,-14.644
334320600400967037,32.03,S1 VH,-14.776
334320600400967038,15.26,S1 VH,-14.608
334320600400967039,23.31,S1 VH,-14.479
334320600400967040,14.51,S1 VH,-14.952
334320600400967041,8.41,S1 VH,-15.307
334320600400967042,8.53,S1 VH,-15.221
334320600400967043,8.75,S1 VH,-14.823
334320600400967044,14.85,S1 VH,-15.047
334320600400967045,6.81,S1 VH,-14.92
334320600400967046,6.21,S1 VH,-15.248
334320600400967048,1.98,S1 VH,-16.102
334320600400967049,2.02,S1 VH,-16.638
334320600400967050,2.28,S1 VH,-15.748
334320600400967051,2.39,S1 VH,-15.433
334320600400967052,2.76,S1 VH,-16.272
334320600400967053,2.13,S1 VH,-17.257
334320600400967054,2.05,S1 VH,-18.214
334320600400967055,2.24,S1 VH,-18.121
334320600400967056,4.0,S1 VH,-16.292
334320600400967057,6.47,S1 VH,-15.02
334320600400967058,3.96,S1 VH,-14.567
334320600400967059,5.01,S1 VH,-14.242
334320600400967060,3.51,S1 VH,-14.646
334320600400967061,6.58,S1 VH,-15.012
334320600400967062,3.4,S1 VH,-14.513
334320600400967063,4.97,S1 VH,-14.39
334320600400967064,11.26,S1 VH,-14.211
334320600400967065,15.19,S1 VH,-14.768
334320600400967066,12.46,S1 VH,-14.377
334320600400967067,7.85,S1 VH,-14.156
334320600400967068,9.24,S1 VH,-14.762
334320600400967069,13.62,S1 VH,-15.133
334320600400967070,11.33,S1 VH,-15.07
334320600400967071,5.23,S1 VH,-15.426
334320600400967072,6.88,S1 VH,-15.226
334320600400967073,4.11,S1 VH,-15.845
334320600400967074,5.5,S1 VH,-15.719
334320600400967075,19.27,S1 VH,-15.626
334320600400967076,26.15,S1 VH,-15.569
334320600400967077,20.84,S1 VH,-15.179
334320600400967078,24.8,S1 VH,-14.9
334320600400967079,26.49,S1 VH,-15.346
334320600400967080,8.98,S1 VH,-16.487
334320600400967081,8.26,S1 VH,-16.54
334320600400967082,25.1,S1 VH,-15.766
334320600400967083,20.13,S1 VH,-15.629
334320600400967084,13.39,S1 VH,-15.76
334320600400967085,29.67,S1 VH,-16.137
334320600400967086,25.07,S1 VH,-15.405
334320600400967087,21.36,S1 VH,-15.878
334320600400967088,3.51,S1 VH,-16.578
334320600400967089,3.89,S1 VH,-16.251
334320600400967090,6.51,S1 VH,-15.279
334320600400967091,15.9,S1 VH,-15.258
334320600400967092,12.34,S1 VH,-15.246
334320600400967093,4.64,S1 VH,-15.575
334320600400967094,2.35,S1 VH,-15.488
334320600400967095,13.28,S1 VH,-15.231
334320600400967096,7.37,S1 VH,-15.267
334320600400967097,6.88,S1 VH,-15.244
334320600400967098,18.56,S1 VH,-15.177
334320600400967099,8.12,S1 VH,-15.397
334320600400967101,5.8,S1 VH,-17.807
334320800400262635,28.05,S1 VH,-13.987
334320800400262636,21.8,S1 VH,-14.684
334320800400262637,25.36,S1 VH,-14.52
334320800400262638,8.19,S1 VH,-14.135
334320800400262639,6.02,S1 VH,-13.739
334320800400262640,4.82,S1 VH,-13.454
334320800400262641,6.65,S1 VH,-14.339
334320800400262642,3.29,S1 VH,-14.867
334320800400262643,4.0,S1 VH,-14.758
334320800400262644,5.87,S1 VH,-14.504
334320800400262645,3.44,S1 VH,-14.531
334320800400262646,8.52,S1 VH,-15.072
334320800400262647,6.77,S1 VH,-16.075
334320800400262648,5.57,S1 VH,-16.503
334320800400262649,8.45,S1 VH,-16.599
334320800400262651,4.75,S1 VH,-15.839
334320800400262652,20.38,S1 VH,-14.55
334320800400262653,4.75,S1 VH,-14.386
334320800400262654,5.64,S1 VH,-14.928
334320800400262655,3.03,S1 VH,-14.854
334320800400262656,4.37,S1 VH,-14.618
334320800400262657,6.09,S1 VH,-14.425
334320800400262658,6.2,S1 VH,-14.463
334320800400262659,5.79,S1 VH,-14.805
334320800400262660,9.91,S1 VH,-14.737
334320800400262661,9.98,S1 VH,-15.014
334320800400262662,17.95,S1 VH,-15.42
